ID_ESCOLA,TX_RESP_Q019_F,TX_RESP_Q023_F,TX_RESP_Q013_C,TX_RESP_Q012_C,TX_RESP_Q014_C,IN_LABORATORIO_CIENCIAS,TX_RESP_Q012_B,IN_COMUM_EJA_FUND,IN_EJA,TX_RESP_Q042_B,TX_RESP_Q041_C,IN_COMUM_FUND_AF,TX_RESP_Q042_C,TX_RESP_Q004_F,TX_RESP_Q004_H,TX_RESP_Q004_G,IDEB 2017,Classe-IDEB
26122960,9.0,9.0,14.0,5.0,37.0,1.0,27.0,0.0,0.0,15.0,29.0,0.0,3.0,15.0,4.0,4.0,3.7,Abaixo da média
26123517,5.0,6.0,13.0,5.0,44.0,0.0,51.0,0.0,0.0,20.0,33.0,1.0,6.0,15.0,12.0,7.0,3.7,Abaixo da média
26123533,2.0,6.0,8.0,3.0,27.0,0.0,32.0,1.0,1.0,13.0,20.0,1.0,2.0,10.0,5.0,3.0,3.5,Abaixo da média
26123703,6.0,5.0,11.0,3.0,21.0,1.0,29.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,4.3,Acima da média
26124432,2.0,5.0,11.0,2.0,23.0,1.0,25.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,3.9,Abaixo da média
26124653,12.0,6.0,24.0,3.0,64.0,1.0,70.0,0.0,0.0,37.0,33.0,1.0,11.0,20.0,16.0,10.0,3.7,Abaixo da média
26124670,6.0,7.0,8.0,1.0,45.0,1.0,42.0,1.0,1.0,19.0,15.0,1.0,4.0,10.0,6.0,7.0,3.7,Abaixo da média
26125013,1.0,0.0,4.0,1.0,8.0,0.0,7.0,0.0,0.0,5.0,7.0,1.0,1.0,4.0,1.0,3.0,4.1,Acima da média
26125641,6.0,7.0,9.0,4.0,9.0,1.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.3,Acima da média
26125781,9.0,11.0,13.0,6.0,35.0,1.0,27.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,4.9,Acima da média
26125943,2.0,0.0,4.0,0.0,7.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,3.7,Abaixo da média
26125978,6.0,1.0,8.0,4.0,23.0,0.0,24.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,4.4,Acima da média
26126010,1.0,3.0,3.0,0.0,14.0,0.0,10.0,1.0,1.0,4.0,5.0,1.0,1.0,4.0,0.0,1.0,3.4,Abaixo da média
26126044,9.0,4.0,12.0,1.0,16.0,1.0,16.0,0.0,0.0,4.0,3.0,0.0,1.0,4.0,1.0,0.0,4.1,Acima da média
26126079,11.0,8.0,12.0,3.0,19.0,0.0,18.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,5.2,Acima da média
26126125,13.0,12.0,22.0,7.0,59.0,0.0,44.0,0.0,1.0,22.0,28.0,1.0,3.0,11.0,10.0,5.0,3.4,Abaixo da média
26126141,2.0,0.0,3.0,0.0,7.0,0.0,10.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,0.0,1.0,3.1,Abaixo da média
26126150,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,4.0,Média
26126206,2.0,3.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.4,Abaixo da média
26126443,1.0,0.0,2.0,1.0,3.0,1.0,4.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,3.8,Abaixo da média
26126605,4.0,2.0,3.0,1.0,15.0,1.0,16.0,0.0,1.0,6.0,7.0,1.0,2.0,2.0,2.0,4.0,3.2,Abaixo da média
26126613,0.0,1.0,5.0,2.0,13.0,0.0,14.0,1.0,1.0,8.0,11.0,1.0,3.0,5.0,6.0,6.0,3.5,Abaixo da média
26127423,2.0,0.0,3.0,0.0,13.0,0.0,11.0,1.0,1.0,5.0,9.0,1.0,5.0,8.0,7.0,3.0,3.5,Abaixo da média
26127431,14.0,12.0,11.0,5.0,26.0,1.0,35.0,0.0,0.0,20.0,14.0,1.0,3.0,12.0,6.0,7.0,3.8,Abaixo da média
26127474,6.0,3.0,5.0,2.0,24.0,0.0,19.0,0.0,0.0,11.0,13.0,1.0,6.0,4.0,6.0,1.0,3.9,Abaixo da média
